Fri Sep  1 19:50:04.981 UTC
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1326 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1328 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1330 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1426 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1428 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1430 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2403 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65501) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:a5b:2414 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64005) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:a6a:2413 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64006) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:d03:2405 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65503) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:d03:2407 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65503) 
RP/0/RP0/CPU0:Sep  1 16:17:16.317 : bgp[1015]: %ROUTING-BGP-5-NSR_STATE_CHANGE : Changed state to NSR-Ready 
RP/0/RP0/CPU0:Sep  1 16:17:16.396 : SSHD_[67848]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Sep  1 16:17:27.284 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.114 Up (VRF: default) (AS: 64005) 
RP/0/RP0/CPU0:Sep  1 16:17:27.285 : bgp[1015]: %ROUTING-BGP-5-NSR_STATE_CHANGE : Changed state to Not NSR-Ready 
RP/0/RP0/CPU0:Sep  1 16:17:27.709 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.13 Up (VRF: default) (AS: 64006) 
RP/0/RP0/CPU0:Sep  1 16:17:28.212 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:a6a:2413 Up (VRF: default) (AS: 64006) 
RP/0/RP0/CPU0:Sep  1 16:17:28.287 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:a5b:2414 Up (VRF: default) (AS: 64005) 
RP/0/RP0/CPU0:Sep  1 16:17:33.856 : SSHD_[67891]: %SECURITY-SSHD-6-INFO_SUCCESS : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256') 
RP/0/RP0/CPU0:Sep  1 16:17:34.650 : SSHD_[67891]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Sep  1 16:17:42.499 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.28 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:17:44.067 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1130 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:44.922 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.26 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:46.066 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1428 Up (VRF: default) (AS: 65014) 
